rosbagTimestamp,data,normality
1.57E+18,62.85,1
1.57E+18,62.86,1
1.57E+18,62.86,1
1.57E+18,62.86,1
1.57E+18,62.86,1
1.57E+18,62.87,1
1.57E+18,62.86,1
1.57E+18,62.87,1
1.57E+18,62.87,1
1.57E+18,62.87,1
1.57E+18,62.87,1
1.57E+18,62.87,1
1.57E+18,62.87,1
1.57E+18,62.88,1
1.57E+18,62.88,1
1.57E+18,62.88,1
1.57E+18,62.89,1
1.57E+18,62.88,1
1.57E+18,62.89,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.9,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.9,1
1.57E+18,62.9,1
1.57E+18,62.89,1
1.57E+18,62.89,1
1.57E+18,62.88,1
1.57E+18,62.87,1
1.57E+18,62.86,1
1.57E+18,62.86,1
1.57E+18,62.85,1
1.57E+18,62.85,1
1.57E+18,62.84,1
1.57E+18,62.84,1
1.57E+18,62.83,1
1.57E+18,62.82,1
1.57E+18,62.81,1
1.57E+18,62.8,1
1.57E+18,62.79,1
1.57E+18,62.78,1
1.57E+18,62.77,1
1.57E+18,62.78,1
1.57E+18,62.72,1
1.57E+18,62.77,1
1.57E+18,62.72,1
1.57E+18,62.7,1
1.57E+18,62.78,1
1.57E+18,62.78,1
1.57E+18,62.81,1
1.57E+18,62.91,1
1.57E+18,62.87,1
1.57E+18,62.84,1
1.57E+18,62.82,1
1.57E+18,62.88,1
1.57E+18,62.8,1
1.57E+18,62.86,1
1.57E+18,62.77,1
1.57E+18,62.72,1
1.57E+18,62.72,1
1.57E+18,62.65,1
1.57E+18,62.65,1
1.57E+18,62.63,1
1.57E+18,62.43,1
1.57E+18,63.97,1
1.57E+18,64.91,1
1.57E+18,65.02,1
1.57E+18,65.03,1
1.57E+18,65.35,1
1.57E+18,64.98,1
1.57E+18,64.89,1
1.57E+18,65.1,1
1.57E+18,66.76,1
1.57E+18,71.47,1
1.57E+18,72.8,1
1.57E+18,71.52,1
1.57E+18,69.76,1
1.57E+18,69.32,1
1.57E+18,70.02,1
1.57E+18,71.03,1
1.57E+18,71.88,1
1.57E+18,70.8,1
1.57E+18,68.78,1
1.57E+18,67.79,1
1.57E+18,67.45,1
1.57E+18,67.79,1
1.57E+18,67.47,1
1.57E+18,66.93,1
1.57E+18,66.26,1
1.57E+18,66.47,1
1.57E+18,67.17,1
1.57E+18,66.31,1
1.57E+18,67.3,1
1.57E+18,68.87,1
1.57E+18,69.73,1
1.57E+18,69.52,1
1.57E+18,73.2,1
1.57E+18,69.95,1
1.57E+18,70.1,1
1.57E+18,69.99,1
1.57E+18,69.11,1
1.57E+18,67.9,1
1.57E+18,66.75,1
1.57E+18,67.54,1
1.57E+18,68.65,1
1.57E+18,70.22,1
1.57E+18,70.51,1
1.57E+18,69.39,1
1.57E+18,68.25,1
1.57E+18,67.16,1
1.57E+18,67.93,1
1.57E+18,67.29,1
1.57E+18,66.97,1
1.57E+18,65.6,1
1.57E+18,64.06,1
1.57E+18,63.22,1
1.57E+18,62.29,1
1.57E+18,62.2,1
1.57E+18,61.39,1
1.57E+18,60.13,1
1.57E+18,60.44,1
1.57E+18,60.83,1
1.57E+18,63.31,1
1.57E+18,63.24,1
1.57E+18,62.33,1
1.57E+18,60.94,1
1.57E+18,59.71,1
1.57E+18,59.35,1
1.57E+18,59.9,1
1.57E+18,60.95,1
1.57E+18,61.92,1
1.57E+18,62.04,1
1.57E+18,61.84,1
1.57E+18,61.67,1
1.57E+18,60.77,1
1.57E+18,61,1
1.57E+18,61.43,1
1.57E+18,61.09,1
1.57E+18,62.05,1
1.57E+18,61.74,1
1.57E+18,61.5,1
1.57E+18,61.49,1
1.57E+18,61.43,1
1.57E+18,61.22,1
1.57E+18,60.2,1
1.57E+18,59.01,1
1.57E+18,58.46,1
1.57E+18,60.18,1
1.57E+18,61.48,1
1.57E+18,61.23,1
1.57E+18,60.9,1
1.57E+18,61.21,1
1.57E+18,61.65,1
1.57E+18,62.05,1
1.57E+18,61.96,1
1.57E+18,62.5,1
1.57E+18,62.26,1
1.57E+18,62.2,1
1.57E+18,62.41,1
1.57E+18,62.53,1
1.57E+18,62.86,1
1.57E+18,63.25,1
1.57E+18,63.46,1
1.57E+18,63.34,1
1.57E+18,62.56,1
1.57E+18,62.53,1
1.57E+18,63.51,1
1.57E+18,63.79,1
1.57E+18,63.45,1
1.57E+18,63.25,1
1.57E+18,63.48,1
1.57E+18,63.74,1
1.57E+18,63.75,1
1.57E+18,63.71,1
1.57E+18,64.18,1
1.57E+18,64.49,1
1.57E+18,64.19,1
1.57E+18,63.7,1
1.57E+18,63.96,1
1.57E+18,64.32,1
1.57E+18,64.49,1
1.57E+18,63.92,1
1.57E+18,64.04,1
1.57E+18,63.72,1
1.57E+18,63.25,1
1.57E+18,63.35,1
1.57E+18,62.35,1
1.57E+18,60.83,1
1.57E+18,60.63,1
1.57E+18,60.41,1
1.57E+18,60.13,1
1.57E+18,59.09,1
1.57E+18,58.85,1
1.57E+18,60.75,1
1.57E+18,61.58,1
1.57E+18,62.08,1
1.57E+18,62.43,1
1.57E+18,62.51,1
1.57E+18,63.15,1
1.57E+18,63.03,1
1.57E+18,63.2,1
1.57E+18,63.51,1
1.57E+18,64.72,1
1.57E+18,65.66,1
1.57E+18,65.27,1
1.57E+18,64.89,1
1.57E+18,65.14,1
1.57E+18,64.93,1
1.57E+18,65.75,1
1.57E+18,66.17,1
1.57E+18,66.92,1
1.57E+18,66.58,1
1.57E+18,67.1,1
1.57E+18,66.95,1
1.57E+18,66.93,1
1.57E+18,67.54,1
1.57E+18,67.68,1
1.57E+18,67.61,1
1.57E+18,67.76,1
1.57E+18,68.72,1
1.57E+18,68.36,1
1.57E+18,69.07,1
1.57E+18,68.76,1
1.57E+18,69.2,1
1.57E+18,69.24,1
1.57E+18,69.38,1
1.57E+18,70.29,1
1.57E+18,70.33,1
1.57E+18,70.38,1
1.57E+18,70.44,1
1.57E+18,70.5,1
1.57E+18,70.56,1
1.57E+18,70.61,1
1.57E+18,70.66,1
1.57E+18,70.7,1
1.57E+18,70.74,1
1.57E+18,70.79,1
1.57E+18,70.83,1
1.57E+18,70.87,1
1.57E+18,70.92,1
1.57E+18,70.97,1
1.57E+18,71.01,1
1.57E+18,71.06,1
1.57E+18,71.09,1
1.57E+18,71.13,1
1.57E+18,71.17,1
1.57E+18,71.21,1
1.57E+18,71.26,1
1.57E+18,71.3,1
1.57E+18,71.34,1
1.57E+18,71.38,1
1.57E+18,71.43,1
1.57E+18,71.48,1
1.57E+18,71.52,1
1.57E+18,71.56,1
1.57E+18,71.6,1
1.57E+18,71.64,1
1.57E+18,71.67,1
1.57E+18,71.7,1
1.57E+18,71.74,1
1.57E+18,71.78,1
1.57E+18,71.83,1
1.57E+18,71.88,1
1.57E+18,71.92,1
1.57E+18,71.96,1
1.57E+18,72,1
1.57E+18,72.04,1
1.57E+18,72.08,1
1.57E+18,72.11,1
1.57E+18,72.15,1
1.57E+18,72.17,1
1.57E+18,72.2,1
1.57E+18,72.24,1
1.57E+18,72.28,1
1.57E+18,72.32,1
1.57E+18,72.36,1
1.57E+18,72.4,1
1.57E+18,72.45,1
1.57E+18,72.49,1
1.57E+18,72.52,1
1.57E+18,72.56,1
1.57E+18,72.6,1
1.57E+18,72.64,1
1.57E+18,72.68,1
1.57E+18,72.72,1
