,%time,seq,stamp,frame_id,xmf,ymf,zmf,magnetic_field_covariance0,magnetic_field_covariance1,magnetic_field_covariance2,magnetic_field_covariance3,magnetic_field_covariance4,magnetic_field_covariance5,magnetic_field_covariance6,magnetic_field_covariance7,magnetic_field_covariance8
0,1574069785820768405,53,1574069785820633188,base_link,111000,222000,-379000,-1,0,0,0,0,0,0,0,0
1,1574069786060301704,54,1574069786060073926,base_link,114000,217000,-377000,-1,0,0,0,0,0,0,0,0
2,1574069786297774451,55,1574069786297423343,base_link,111000,216000,-369000,-1,0,0,0,0,0,0,0,0
3,1574069786532848122,56,1574069786532616666,base_link,104000,221000,-373000,-1,0,0,0,0,0,0,0,0
4,1574069786785251422,57,1574069786784905174,base_link,122000,216000,-383000,-1,0,0,0,0,0,0,0,0
5,1574069787019754063,58,1574069787019552914,base_link,123000,218000,-371000,-1,0,0,0,0,0,0,0,0
6,1574069787260611738,59,1574069787260202320,base_link,112000,217000,-368000,-1,0,0,0,0,0,0,0,0
7,1574069787502769140,60,1574069787502453808,base_link,109000,217000,-370000,-1,0,0,0,0,0,0,0,0
8,1574069787733342222,61,1574069787732972790,base_link,113000,216000,-380000,-1,0,0,0,0,0,0,0,0
9,1574069787976203214,62,1574069787975992759,base_link,116000,217000,-378000,-1,0,0,0,0,0,0,0,0
10,1574069788226364073,63,1574069788226005957,base_link,110000,218000,-370000,-1,0,0,0,0,0,0,0,0
11,1574069788470585867,64,1574069788470334043,base_link,108000,221000,-372000,-1,0,0,0,0,0,0,0,0
12,1574069788711749140,65,1574069788711352307,base_link,112000,221000,-379000,-1,0,0,0,0,0,0,0,0
13,1574069788930337791,66,1574069788930133833,base_link,112000,218000,-380000,-1,0,0,0,0,0,0,0,0
14,1574069789181723628,67,1574069789181500083,base_link,118000,218000,-379000,-1,0,0,0,0,0,0,0,0
15,1574069789414387237,68,1574069789414116212,base_link,107000,221000,-369000,-1,0,0,0,0,0,0,0,0
16,1574069789655469142,69,1574069789655225299,base_link,109000,218000,-369000,-1,0,0,0,0,0,0,0,0
17,1574069789896893050,70,1574069789896563766,base_link,109000,222000,-377000,-1,0,0,0,0,0,0,0,0
18,1574069790136261078,71,1574069790136056075,base_link,118000,218000,-373000,-1,0,0,0,0,0,0,0,0
19,1574069790385455171,72,1574069790385095431,base_link,114000,218000,-368000,-1,0,0,0,0,0,0,0,0
20,1574069790614672254,73,1574069790614463070,base_link,106000,217000,-375000,-1,0,0,0,0,0,0,0,0
21,1574069790862016097,74,1574069790861781913,base_link,114000,217000,-376000,-1,0,0,0,0,0,0,0,0
22,1574069791105318907,75,1574069791105118414,base_link,116000,218000,-367000,-1,0,0,0,0,0,0,0,0
23,1574069791340517564,76,1574069791340102459,base_link,109000,220000,-372000,-1,0,0,0,0,0,0,0,0
24,1574069791590771657,77,1574069791590498164,base_link,107000,217000,-370000,-1,0,0,0,0,0,0,0,0
25,1574069791814971031,78,1574069791814570745,base_link,115000,218000,-380000,-1,0,0,0,0,0,0,0,0
26,1574069792055815600,79,1574069792055632475,base_link,116000,221000,-375000,-1,0,0,0,0,0,0,0,0
27,1574069792311370778,80,1574069792311056739,base_link,111000,219000,-371000,-1,0,0,0,0,0,0,0,0
28,1574069792529456106,81,1574069792529269867,base_link,109000,221000,-370000,-1,0,0,0,0,0,0,0,0
29,1574069792786689257,82,1574069792786325525,base_link,115000,217000,-376000,-1,0,0,0,0,0,0,0,0
30,1574069793019965170,83,1574069793019714999,base_link,114000,218000,-374000,-1,0,0,0,0,0,0,0,0
31,1574069793257896777,84,1574069793257516047,base_link,111000,218000,-375000,-1,0,0,0,0,0,0,0,0
32,1574069793501076397,85,1574069793500870515,base_link,105000,223000,-370000,-1,0,0,0,0,0,0,0,0
33,1574069793733671365,86,1574069793733288562,base_link,114000,220000,-377000,-1,0,0,0,0,0,0,0,0
34,1574069793932633919,87,1574069793932437391,base_link,116000,223000,-375000,-1,0,0,0,0,0,0,0,0
35,1574069794181371851,88,1574069794180945600,base_link,118000,220000,-374000,-1,0,0,0,0,0,0,0,0
36,1574069794415240740,89,1574069794414983062,base_link,114000,221000,-377000,-1,0,0,0,0,0,0,0,0
37,1574069794655025054,90,1574069794654796671,base_link,116000,220000,-377000,-1,0,0,0,0,0,0,0,0
38,1574069794891623116,91,1574069794891304096,base_link,118000,217000,-378000,-1,0,0,0,0,0,0,0,0
39,1574069795135984709,92,1574069795135608178,base_link,118000,220000,-381000,-1,0,0,0,0,0,0,0,0
40,1574069795374224822,93,1574069795373837842,base_link,114000,217000,-378000,-1,0,0,0,0,0,0,0,0
41,1574069795646564046,94,1574069795646162323,base_link,117000,218000,-374000,-1,0,0,0,0,0,0,0,0
42,1574069795847500954,95,1574069795847295210,base_link,118000,215000,-374000,-1,0,0,0,0,0,0,0,0
43,1574069796086951294,96,1574069796086710710,base_link,119000,217000,-372000,-1,0,0,0,0,0,0,0,0
44,1574069796356843907,97,1574069796356640993,base_link,124000,212000,-368000,-1,0,0,0,0,0,0,0,0
45,1574069796585798730,98,1574069796585384193,base_link,122000,217000,-367000,-1,0,0,0,0,0,0,0,0
46,1574069796813461666,99,1574069796813256148,base_link,118000,209000,-369000,-1,0,0,0,0,0,0,0,0
47,1574069797048284496,100,1574069797048066493,base_link,121000,216000,-372000,-1,0,0,0,0,0,0,0,0
48,1574069797321857310,101,1574069797321586094,base_link,120000,213000,-367000,-1,0,0,0,0,0,0,0,0
49,1574069797532366556,102,1574069797532209285,base_link,117000,215000,-365000,-1,0,0,0,0,0,0,0,0
50,1574069797770407189,103,1574069797770000514,base_link,120000,213000,-366000,-1,0,0,0,0,0,0,0,0
51,1574069798009726914,104,1574069798009514161,base_link,119000,212000,-371000,-1,0,0,0,0,0,0,0,0
52,1574069798263602947,105,1574069798263293152,base_link,126000,215000,-369000,-1,0,0,0,0,0,0,0,0
53,1574069798495174045,106,1574069798495029361,base_link,120000,211000,-367000,-1,0,0,0,0,0,0,0,0
54,1574069798730906790,107,1574069798730540735,base_link,118000,211000,-373000,-1,0,0,0,0,0,0,0,0
55,1574069798970548634,108,1574069798970356689,base_link,116000,221000,-375000,-1,0,0,0,0,0,0,0,0
56,1574069799235049238,109,1574069799234695418,base_link,125000,213000,-373000,-1,0,0,0,0,0,0,0,0
57,1574069799454484674,110,1574069799454300062,base_link,122000,211000,-368000,-1,0,0,0,0,0,0,0,0
58,1574069799700311140,111,1574069799699944510,base_link,121000,216000,-372000,-1,0,0,0,0,0,0,0,0
59,1574069799933050333,112,1574069799932891157,base_link,115000,209000,-372000,-1,0,0,0,0,0,0,0,0
60,1574069800175716206,113,1574069800175323740,base_link,119000,214000,-369000,-1,0,0,0,0,0,0,0,0
61,1574069800450800311,114,1574069800450556332,base_link,116000,216000,-371000,-1,0,0,0,0,0,0,0,0
62,1574069800648099406,115,1574069800647659779,base_link,118000,215000,-373000,-1,0,0,0,0,0,0,0,0
63,1574069800889566384,116,1574069800889302688,base_link,120000,209000,-374000,-1,0,0,0,0,0,0,0,0
64,1574069801130334954,117,1574069801129884049,base_link,123000,216000,-369000,-1,0,0,0,0,0,0,0,0
65,1574069801381383523,118,1574069801381108498,base_link,116000,212000,-366000,-1,0,0,0,0,0,0,0,0
66,1574069801631435983,119,1574069801631064837,base_link,121000,213000,-368000,-1,0,0,0,0,0,0,0,0
67,1574069801854321670,120,1574069801854173633,base_link,119000,211000,-364000,-1,0,0,0,0,0,0,0,0
68,1574069802100423796,121,1574069802100036398,base_link,123000,214000,-369000,-1,0,0,0,0,0,0,0,0
69,1574069802337374785,122,1574069802337190913,base_link,125000,213000,-371000,-1,0,0,0,0,0,0,0,0
70,1574069802620843262,123,1574069802620353261,base_link,114000,215000,-367000,-1,0,0,0,0,0,0,0,0
71,1574069802815391663,124,1574069802815216298,base_link,123000,213000,-374000,-1,0,0,0,0,0,0,0,0
72,1574069803055330072,125,1574069803054927691,base_link,125000,209000,-372000,-1,0,0,0,0,0,0,0,0
73,1574069803290150032,126,1574069803289864217,base_link,118000,212000,-367000,-1,0,0,0,0,0,0,0,0
74,1574069803531457224,127,1574069803531093054,base_link,125000,214000,-358000,-1,0,0,0,0,0,0,0,0
75,1574069803792156631,128,1574069803791990393,base_link,123000,210000,-364000,-1,0,0,0,0,0,0,0,0
76,1574069804016259896,129,1574069804015862543,base_link,120000,209000,-369000,-1,0,0,0,0,0,0,0,0
77,1574069804256422497,130,1574069804256210444,base_link,128000,210000,-360000,-1,0,0,0,0,0,0,0,0
78,1574069804487263955,131,1574069804486927464,base_link,120000,208000,-366000,-1,0,0,0,0,0,0,0,0
79,1574069804770648628,132,1574069804770414262,base_link,122000,211000,-369000,-1,0,0,0,0,0,0,0,0
80,1574069804972362267,133,1574069804971984625,base_link,121000,212000,-369000,-1,0,0,0,0,0,0,0,0
81,1574069805224811207,134,1574069805224493887,base_link,130000,204000,-367000,-1,0,0,0,0,0,0,0,0
82,1574069805452589119,135,1574069805452348949,base_link,126000,204000,-363000,-1,0,0,0,0,0,0,0,0
83,1574069805715124224,136,1574069805714730782,base_link,131000,209000,-364000,-1,0,0,0,0,0,0,0,0
84,1574069805957190797,137,1574069805956908202,base_link,130000,218000,-364000,-1,0,0,0,0,0,0,0,0
85,1574069806173187283,138,1574069806172827712,base_link,121000,216000,-369000,-1,0,0,0,0,0,0,0,0
86,1574069806432995042,139,1574069806432893857,base_link,103000,211000,-368000,-1,0,0,0,0,0,0,0,0
87,1574069806678268518,140,1574069806677831362,base_link,110000,218000,-365000,-1,0,0,0,0,0,0,0,0
88,1574069806922172451,141,1574069806921981185,base_link,108000,222000,-369000,-1,0,0,0,0,0,0,0,0
89,1574069807135822399,142,1574069807135447979,base_link,105000,220000,-368000,-1,0,0,0,0,0,0,0,0
90,1574069807375433148,143,1574069807375259024,base_link,111000,216000,-358000,-1,0,0,0,0,0,0,0,0
91,1574069807643094798,144,1574069807642717942,base_link,103000,218000,-366000,-1,0,0,0,0,0,0,0,0
92,1574069807856295919,145,1574069807856098885,base_link,102000,226000,-368000,-1,0,0,0,0,0,0,0,0
93,1574069808086388691,146,1574069808085982614,base_link,100000,228000,-367000,-1,0,0,0,0,0,0,0,0
94,1574069808338479443,147,1574069808338249938,base_link,96000,223000,-359000,-1,0,0,0,0,0,0,0,0
95,1574069808597156851,148,1574069808596783772,base_link,67000,224000,-365000,-1,0,0,0,0,0,0,0,0
96,1574069808814601880,149,1574069808814371330,base_link,55000,223000,-358000,-1,0,0,0,0,0,0,0,0
97,1574069809044569891,150,1574069809044139797,base_link,55000,224000,-366000,-1,0,0,0,0,0,0,0,0
98,1574069809322490606,151,1574069809322294395,base_link,58000,228000,-367000,-1,0,0,0,0,0,0,0,0
99,1574069809544350067,152,1574069809544142343,base_link,54000,219000,-362000,-1,0,0,0,0,0,0,0,0
100,1574069809770577401,153,1574069809770180288,base_link,56000,217000,-368000,-1,0,0,0,0,0,0,0,0
101,1574069810015121901,154,1574069810014856537,base_link,55000,221000,-371000,-1,0,0,0,0,0,0,0,0
102,1574069810244934989,155,1574069810244539100,base_link,49000,222000,-368000,-1,0,0,0,0,0,0,0,0
103,1574069810511906367,156,1574069810511683189,base_link,44000,224000,-363000,-1,0,0,0,0,0,0,0,0
104,1574069810736093209,157,1574069810735676645,base_link,42000,224000,-365000,-1,0,0,0,0,0,0,0,0
105,1574069810966258042,158,1574069810966013512,base_link,42000,215000,-369000,-1,0,0,0,0,0,0,0,0
106,1574069811220746822,159,1574069811220357749,base_link,48000,221000,-367000,-1,0,0,0,0,0,0,0,0
107,1574069811449125218,160,1574069811448985004,base_link,60000,222000,-363000,-1,0,0,0,0,0,0,0,0
108,1574069811735607341,161,1574069811735212009,base_link,70000,216000,-373000,-1,0,0,0,0,0,0,0,0
109,1574069811931824529,162,1574069811931538699,base_link,69000,218000,-361000,-1,0,0,0,0,0,0,0,0
110,1574069812176591853,163,1574069812176247974,base_link,84000,227000,-367000,-1,0,0,0,0,0,0,0,0
111,1574069812432269044,164,1574069812432064577,base_link,88000,219000,-360000,-1,0,0,0,0,0,0,0,0
112,1574069812651584186,165,1574069812651285570,base_link,98000,223000,-355000,-1,0,0,0,0,0,0,0,0
113,1574069812905135225,166,1574069812904982769,base_link,97000,226000,-358000,-1,0,0,0,0,0,0,0,0
114,1574069813130745474,167,1574069813130486009,base_link,96000,225000,-355000,-1,0,0,0,0,0,0,0,0
