rosbagTimestamp,seq,secs,nsecs,frame_id,xp,yp,zp,xo,yo,zo,wo,normality
1.57E+18,0,1574069785,712742836,map,-0.553047657,3.1822505,-0.863592863,-0.007621185,-0.004687104,-0.234685299,-0.972030225,1
1.57E+18,1,1574069785,952704773,map,-0.528660297,3.119521618,-0.881651878,-0.007844751,-0.004502887,-0.234648046,-0.972038311,1
1.57E+18,2,1574069786,192777145,map,-0.517265797,3.037045956,-0.897155762,-0.008120401,-0.004272798,-0.234578753,-0.972053811,1
1.57E+18,3,1574069786,436379125,map,-0.505855083,2.991252899,-0.908192396,-0.008404232,-0.004010122,-0.234530372,-0.972064191,1
1.57E+18,4,1574069786,673173222,map,-0.479903698,2.988118172,-0.916147232,-0.008488704,-0.003894096,-0.234552425,-0.972058608,1
1.57E+18,5,1574069786,913132463,map,-0.456182957,2.991552353,-0.931493044,-0.008411635,-0.003831706,-0.234527381,-0.972065569,1
1.57E+18,6,1574069787,152272004,map,-0.439661503,3.008841038,-0.947969913,-0.008259107,-0.003832091,-0.234504787,-0.972072326,1
1.57E+18,7,1574069787,393422648,map,-0.422655582,2.995497227,-0.960315704,-0.008131954,-0.003787356,-0.234542564,-0.972064459,1
1.57E+18,8,1574069787,636076753,map,-0.394902706,2.935957432,-0.966193914,-0.008166998,-0.003697888,-0.234511614,-0.972071977,1
1.57E+18,9,1574069787,875732097,map,-0.384650707,2.867647648,-0.972998857,-0.008385852,-0.003619899,-0.234486903,-0.972076368,1
1.57E+18,10,1574069788,112958588,map,-0.365975857,2.849562645,-0.978034973,-0.00854835,-0.003527536,-0.234472697,-0.972078719,1
1.57E+18,11,1574069788,354338323,map,-0.345016003,2.863278866,-0.981565237,-0.00849512,-0.003502702,-0.234469066,-0.972080152,1
1.57E+18,12,1574069788,593095599,map,-0.325778484,2.871742249,-0.979526758,-0.00826459,-0.003502308,-0.234504769,-0.972073528,1
1.57E+18,13,1574069788,833199200,map,-0.308845043,2.870335102,-0.986785412,-0.008123287,-0.003485709,-0.234479732,-0.972080818,1
1.57E+18,14,1574069789,72666270,map,-0.289493084,2.868251324,-0.99546957,-0.00802102,-0.003425721,-0.23441008,-0.972098679,1
1.57E+18,15,1574069789,313167484,map,-0.263808727,2.845855713,-0.995669603,-0.007939567,-0.003424572,-0.234367084,-0.972109719,1
1.57E+18,16,1574069789,554959277,map,-0.234778881,2.811482906,-0.994208813,-0.007968465,-0.00342359,-0.234343993,-0.972115053,1
1.57E+18,17,1574069789,792456877,map,-0.209600449,2.796050072,-0.998376608,-0.008035301,-0.003450387,-0.234341745,-0.97211495,1
1.57E+18,18,1574069790,35945911,map,-0.192202568,2.775269032,-0.999324083,-0.008042063,-0.003512912,-0.234355293,-0.972111404,1
1.57E+18,19,1574069790,273011778,map,-0.177440643,2.727000237,-0.997310162,-0.00805416,-0.003456654,-0.23428244,-0.972129066,1
1.57E+18,20,1574069790,512409504,map,-0.143303871,2.714027405,-0.997075796,-0.008077256,-0.003446936,-0.23423255,-0.972140931,1
1.57E+18,21,1574069790,752043660,map,-0.119800568,2.706199646,-0.997776031,-0.008009281,-0.003512245,-0.234238058,-0.972139932,1
1.57E+18,22,1574069790,992592200,map,-0.107394695,2.707437038,-1.003381014,-0.007947496,-0.003540848,-0.234230577,-0.972142138,1
1.57E+18,23,1574069791,234131396,map,-0.094562531,2.717006683,-1.008305073,-0.007813889,-0.003549396,-0.23421823,-0.972146165,1
1.57E+18,24,1574069791,471369709,map,-0.069447041,2.694479465,-1.00244236,-0.007704499,-0.003548603,-0.234258032,-0.97213745,1
1.57E+18,25,1574069791,713299035,map,-0.046741486,2.662545204,-0.997560978,-0.007727758,-0.003587985,-0.234247789,-0.97213959,1
1.57E+18,26,1574069791,951876863,map,-0.021665096,2.617103577,-0.996549368,-0.007770643,-0.003620704,-0.234299288,-0.972126716,1
1.57E+18,27,1574069792,193045727,map,0.004962444,2.564100266,-0.99684763,-0.007876618,-0.003635751,-0.234295686,-0.972126675,1
1.57E+18,28,1574069792,433272599,map,0.025836468,2.512942314,-0.99368763,-0.007945482,-0.003647924,-0.234294484,-0.972126358,1
1.57E+18,29,1574069792,674010095,map,0.046309948,2.453381538,-0.98414731,-0.008005725,-0.003696257,-0.234350322,-0.972112222,1
1.57E+18,30,1574069792,912179005,map,0.068649292,2.398731709,-0.97843504,-0.008089708,-0.003724297,-0.234308032,-0.972121614,1
1.57E+18,31,1574069793,152163309,map,0.08751297,2.345879078,-0.973052979,-0.008133112,-0.00369442,-0.234315436,-0.972119581,1
1.57E+18,32,1574069793,392849025,map,0.11724329,2.315553665,-0.96475625,-0.008110017,-0.003751356,-0.234292096,-0.972125182,1
1.57E+18,33,1574069793,642069782,map,0.144791603,2.27455759,-0.952034235,-0.008083666,-0.003844833,-0.234283941,-0.972127001,1
1.57E+18,34,1574069793,913261224,map,0.023121357,-0.112913609,0.0277915,-0.008164958,-0.003881087,-0.234311678,-0.972119493,1
1.57E+18,35,1574069794,212810935,map,0.053096294,-0.233201504,0.04789567,-0.008385001,-0.003847072,-0.234311191,-0.972117872,1
1.57E+18,36,1574069794,532269838,map,0.0858922,-0.293656349,0.069379091,-0.008497321,-0.003824299,-0.234254974,-0.972130535,1
1.57E+18,37,1574069794,793198661,map,0.124676228,-0.332818508,0.079678535,-0.008387613,-0.003866774,-0.234259013,-0.972130347,1
1.57E+18,38,1574069795,72660999,map,0.169528008,-0.353395462,0.087749243,-0.008240441,-0.003939253,-0.234299279,-0.97212161,1
1.57E+18,39,1574069795,353487221,map,0.216604233,-0.362050056,0.097223997,-0.00806705,-0.004068082,-0.234337905,-0.972113224,1
