,%time,seq,stamp,frame_id,status,service,latitude,longitude,altitude,position_covariance0,position_covariance1,position_covariance2,position_covariance3,position_covariance4,position_covariance5,position_covariance6,position_covariance7,position_covariance8,position_covariance_type
0,1574069785712496425,0,1574069785712273355,base_link,0,1,40.3548519,-3.7441363,706.6966169,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
1,1574069785952241052,1,1574069785951754837,base_link,0,1,40.3548514,-3.744136,706.6766161,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
2,1574069786192711630,2,1574069786192365652,base_link,0,1,40.3548506,-3.7441358,706.6666152,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
3,1574069786433245259,3,1574069786432829361,base_link,0,1,40.3548502,-3.7441357,706.6566147,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
4,1574069786666896779,4,1574069786666516517,base_link,0,1,40.3548502,-3.7441354,706.6466145,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
5,1574069786912695947,5,1574069786912236939,base_link,0,1,40.3548502,-3.7441351,706.6266142,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
6,1574069787152257939,6,1574069787151945599,base_link,0,1,40.3548504,-3.7441349,706.6166142,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
7,1574069787393152621,7,1574069787392729551,base_link,0,1,40.3548503,-3.7441347,706.596614,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
8,1574069787635822978,8,1574069787635570638,base_link,0,1,40.3548497,-3.7441344,706.5966131,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
9,1574069787875253100,9,1574069787874802230,base_link,0,1,40.3548491,-3.7441343,706.5866124,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
10,1574069788112767769,10,1574069788112376565,base_link,0,1,40.3548489,-3.7441341,706.5866121,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
11,1574069788353874136,11,1574069788353414958,base_link,0,1,40.3548491,-3.7441338,706.576612,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
12,1574069788589835507,12,1574069788589586889,base_link,0,1,40.3548491,-3.7441336,706.5866118,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
13,1574069788832635868,13,1574069788832214762,base_link,0,1,40.3548491,-3.7441334,706.5766117,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
14,1574069789072317023,14,1574069789072036531,base_link,0,1,40.3548491,-3.7441332,706.5666115,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
15,1574069789312998473,15,1574069789312591866,base_link,0,1,40.3548489,-3.7441329,706.566611,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
16,1574069789546487601,16,1574069789546171864,base_link,0,1,40.3548486,-3.7441325,706.5666104,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
17,1574069789792328505,17,1574069789791880089,base_link,0,1,40.3548485,-3.7441322,706.5666101,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
18,1574069790032430324,18,1574069790032167829,base_link,0,1,40.3548483,-3.744132,706.5666097,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
19,1574069790272454105,19,1574069790272064333,base_link,0,1,40.3548478,-3.7441318,706.566609,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
20,1574069790512126238,20,1574069790511908836,base_link,0,1,40.3548477,-3.7441314,706.5666086,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
21,1574069790751851277,21,1574069790751707260,base_link,0,1,40.3548477,-3.7441312,706.5666084,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
22,1574069790992386324,22,1574069790992110298,base_link,0,1,40.3548477,-3.744131,706.5566083,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
23,1574069791230945063,23,1574069791230517411,base_link,0,1,40.3548478,-3.7441309,706.5566083,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
