rosbagTimestamp,seq,secs,nsecs,frame_id,child_frame_id,xp,yp,zp,xo,yo,zo,wo,orientation_covariance,xl,yl,zl,xa,ya,za,angular_covariance,normality
1.57E+18,53,1574069785,712273355,map,base_link,4.528345902,0.344268124,-0.863,-0.007621185,-0.004687104,-0.234685299,-0.972030225,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.14,0.07,0.06,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,54,1574069785,951754837,map,base_link,4.553833797,0.288741242,-0.881,-0.007844751,-0.004502887,-0.234648046,-0.972038311,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.12,0.03,0.06,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,55,1574069786,192365652,map,base_link,4.570825761,0.199898218,-0.897,-0.008120401,-0.004272798,-0.234578753,-0.972053811,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.11,0,0.06,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,56,1574069786,432829361,map,base_link,4.57932174,0.155476705,-0.908,-0.008404232,-0.004010122,-0.234530372,-0.972064191,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.09,-0.01,0.06,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,57,1574069786,666516517,map,base_link,4.604809609,0.155476721,-0.916,-0.008488704,-0.003894096,-0.234552425,-0.972058608,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.08,-0.01,0.06,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,58,1574069786,912236939,map,base_link,4.63029747,0.155476736,-0.931,-0.008411635,-0.003831706,-0.234527381,-0.972065569,"[0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.016399878120424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.07,0,0.07,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,59,1574069787,151945599,map,base_link,4.647289366,0.177687504,-0.947,-0.008259107,-0.003832091,-0.234504787,-0.972072326,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.326399682617193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.06,0,0.07,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,60,1574069787,392729551,map,base_link,4.664281276,0.166582135,-0.96,-0.008131954,-0.003787356,-0.234542564,-0.972064459,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.326399682617193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.05,0,0.08,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,61,1574069787,635570638,map,base_link,4.689769193,0.099949876,-0.966,-0.008166998,-0.003697888,-0.234511614,-0.972071977,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.326399682617193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.05,-0.02,0.07,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
1.57E+18,62,1574069787,874802230,map,base_link,4.698265186,0.033317606,-0.972,-0.008385852,-0.003619899,-0.234486903,-0.972076368,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.326399682617193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0]",0.03,-0.05,0.07,0,0,0,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
