,%time,seq,stamp,frame_id,child_frame_id,xp,yp,zp,xo,yo,zo,wo,orientation_covariance0,orientation_covariance1,orientation_covariance2,orientation_covariance3,orientation_covariance4,orientation_covariance5,orientation_covariance6,orientation_covariance7,orientation_covariance8,orientation_covariance9,orientation_covariance10,orientation_covariance11,orientation_covariance12,orientation_covariance13,orientation_covariance14,orientation_covariance15,orientation_covariance16,orientation_covariance17,orientation_covariance18,orientation_covariance19,orientation_covariance20,orientation_covariance21,orientation_covariance22,orientation_covariance23,orientation_covariance24,orientation_covariance25,orientation_covariance26,orientation_covariance27,orientation_covariance28,orientation_covariance29,orientation_covariance30,orientation_covariance31,orientation_covariance32,orientation_covariance33,orientation_covariance34,orientation_covariance35,xl,yl,zl,xa,ya,za,angular_covariance0,angular_covariance1,angular_covariance2,angular_covariance3,angular_covariance4,angular_covariance5,angular_covariance6,angular_covariance7,angular_covariance8,angular_covariance9,angular_covariance10,angular_covariance11,angular_covariance12,angular_covariance13,angular_covariance14,angular_covariance15,angular_covariance16,angular_covariance17,angular_covariance18,angular_covariance19,angular_covariance20,angular_covarianceq21,angular_covariance22,angular_covariance23,angular_covariance24,angular_covariance25,angular_covariance26,angular_covariance27,angular_covariance28,angular_covariance29,angular_covariance30,angular_covariance31,angular_covariance32,angular_covariance33,angular_covariance34,angular_covariance35
0,1574069785712526421,53,1574069785712273355,map,base_link,4.528345902,0.3442681244,-0.863,-0.007621184842,-0.004687104256,-0.2346852987,-0.9720302254,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.14,0.07,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1574069785952265811,54,1574069785951754837,map,base_link,4.553833797,0.2887412419,-0.881,-0.00784475057,-0.00450288658,-0.2346480463,-0.9720383111,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.12,0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1574069786192719763,55,1574069786192365652,map,base_link,4.570825761,0.1998982177,-0.897,-0.00812040129,-0.004272798456,-0.2345787533,-0.9720538106,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.11,0,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1574069786433306525,56,1574069786432829361,map,base_link,4.57932174,0.1554767054,-0.908,-0.00840423157,-0.004010121634,-0.2345303721,-0.9720641915,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.09,-0.01,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1574069786666894851,57,1574069786666516517,map,base_link,4.604809609,0.1554767208,-0.916,-0.008488704386,-0.003894096475,-0.2345524247,-0.9720586083,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.08,-0.01,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1574069786912718990,58,1574069786912236939,map,base_link,4.63029747,0.1554767362,-0.931,-0.008411635174,-0.003831705619,-0.2345273807,-0.9720655688,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.07,0,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1574069787152263542,59,1574069787151945599,map,base_link,4.647289366,0.1776875042,-0.947,-0.008259107299,-0.003832090517,-0.2345047871,-0.972072326,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.06,0,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1574069787393173064,60,1574069787392729551,map,base_link,4.664281276,0.1665821351,-0.96,-0.008131954297,-0.003787356459,-0.2345425637,-0.9720644593,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.05,0,0.08,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1574069787635819085,61,1574069787635570638,map,base_link,4.689769193,0.09994987606,-0.966,-0.008166997755,-0.003697888004,-0.2345116143,-0.972071977,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.05,-0.02,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1574069787875271672,62,1574069787874802230,map,base_link,4.698265186,0.03331760605,-0.972,-0.008385852185,-0.003619898643,-0.2344869034,-0.9720763684,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.03,-0.05,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1574069788112820506,63,1574069788112376565,map,base_link,4.715257118,0.01110685746,-0.978,-0.008548350334,-0.003527535685,-0.2344726966,-0.9720787194,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.02,-0.05,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1574069788353974094,64,1574069788353414958,map,base_link,4.740744973,0.03331763233,-0.981,-0.008495119632,-0.003502702443,-0.2344690659,-0.9720801516,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.02,-0.03,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1574069788589843882,65,1574069788589586889,map,base_link,4.757736898,0.03331764307,-0.979,-0.008264589962,-0.003502307747,-0.2345047694,-0.9720735278,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.01,-0.03,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1574069788832654993,66,1574069788832214762,map,base_link,4.774728808,0.03331765441,-0.986,-0.008123286606,-0.003485708952,-0.2344797321,-0.9720808183,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.02,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1574069789072322951,67,1574069789072036531,map,base_link,4.791720718,0.03331766478,-0.995,-0.008021019561,-0.003425720505,-0.2344100795,-0.9720986793,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.02,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1574069789313013928,68,1574069789312591866,map,base_link,4.817208608,0.01110692274,-0.995,-0.007939566712,-0.003424572216,-0.2343670841,-0.9721097189,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.02,0.07,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1574069789546488432,69,1574069789546171864,map,base_link,4.851192464,-0.02220919267,-0.994,-0.007968465453,-0.003423589951,-0.2343439927,-0.9721150527,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1574069789792337067,70,1574069789791880089,map,base_link,4.876680348,-0.03331455513,-0.998,-0.0080353012,-0.0034503872,-0.2343417453,-0.9721149496,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1574069790032461974,71,1574069790032167829,map,base_link,4.89367228,-0.05552530188,-0.999,-0.008042063082,-0.003512912095,-0.2343552928,-0.9721114038,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1574069790272485128,72,1574069790272064333,map,base_link,4.910664234,-0.1110521864,-0.997,-0.00805416004,-0.003456653753,-0.2342824403,-0.9721290656,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.04,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1574069790512121768,73,1574069790511908836,map,base_link,4.944648077,-0.1221575436,-0.997,-0.008077255776,-0.003446936417,-0.2342325495,-0.9721409308,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1574069790751860085,74,1574069790751707260,map,base_link,4.961639994,-0.122157532,-0.997,-0.00800928123,-0.003512245334,-0.2342380583,-0.9721399321,0.7225000405,0,0,0,0,0,0,0.7225000405,0,0,0,0,0,0,2.016399878,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1574069790992388834,75,1574069790992110298,map,base_link,4.978631905,-0.1221575213,-1.003,-0.007947496196,-0.00354084769,-0.2342305768,-0.9721421381,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.01,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1574069791230966882,76,1574069791230517411,map,base_link,4.987127856,-0.1110521356,-1.008,-0.007813888783,-0.003549395686,-0.2342182295,-0.9721461649,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,0,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1574069791471408825,77,1574069791471115168,map,base_link,5.012615747,-0.1332628777,-1.002,-0.007704498822,-0.003548602808,-0.2342580322,-0.9721374504,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,0,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1574069791710169769,78,1574069791709672779,map,base_link,5.038103654,-0.1665789978,-0.997,-0.007727758388,-0.003587985003,-0.2342477885,-0.9721395896,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.01,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1574069791951746944,79,1574069791951364561,map,base_link,5.063591561,-0.2110004981,-0.996,-0.007770642538,-0.003620703936,-0.2342992878,-0.9721267157,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.02,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1574069792192364020,80,1574069792191955628,map,base_link,5.089079476,-0.2665273765,-0.996,-0.007876617966,-0.003635750917,-0.2342956861,-0.9721266747,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.03,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1574069792430015736,81,1574069792429676806,map,base_link,5.114567391,-0.3220542556,-0.993,-0.00794548164,-0.003647924321,-0.2342944843,-0.9721263584,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.04,0.06,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1574069792670731630,82,1574069792670266654,map,base_link,5.131559355,-0.3775811393,-0.984,-0.00800572529,-0.003696257212,-0.2343503216,-0.9721122223,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.05,0.05,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1574069792908070059,83,1574069792907640418,map,base_link,5.157047279,-0.4331080185,-0.978,-0.008089707579,-0.003724296807,-0.2343080316,-0.9721216141,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,6.812099452,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.05,0.05,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1574069793151732193,84,1574069793151320966,map,base_link,5.174039235,-0.488634902,-0.973,-0.008133111527,-0.003694420431,-0.2343154359,-0.9721195812,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.06,0.05,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1574069793390456872,85,1574069793390181189,map,base_link,5.199527137,-0.5108456435,-0.964,-0.008110017428,-0.00375135582,-0.2342920962,-0.9721251815,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.02,-0.06,0.05,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1574069793630456489,86,1574069793630179269,map,base_link,5.233511014,-0.5552671382,-0.952,-0.008083665952,-0.003844832772,-0.2342839415,-0.9721270012,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.06,0.04,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1574069793911196313,87,1574069793910897648,map,base_link,5.258998986,-0.6663209143,0.027,-0.008164958026,-0.00388108706,-0.2343116781,-0.9721194927,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.09,0.04,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1574069794212580142,88,1574069794212079920,map,base_link,5.292982919,-0.7773746852,0.047,-0.008385000568,-0.003847071588,-0.2343111911,-0.9721178722,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.12,0.04,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1574069794523660287,89,1574069794523366130,map,base_link,5.326966822,-0.8440069387,0.069,-0.008497321243,-0.003824299227,-0.2342549743,-0.9721305351,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.12,0.03,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1574069794793150532,90,1574069794792667954,map,base_link,5.360950693,-0.8773230545,0.079,-0.008387612797,-0.003866774402,-0.2342590134,-0.9721303465,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,-0.01,-0.11,0.03,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1574069795072520535,91,1574069795072272256,map,base_link,5.403430517,-0.8995337843,0.087,-0.008240440993,-0.003939252907,-0.2342992795,-0.9721216102,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.09,0.03,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1574069795353185458,92,1574069795352943931,map,base_link,5.454406294,-0.9106391269,0.097,-0.00806705025,-0.004068082386,-0.2343379047,-0.9721132238,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.08,0.03,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1574069795674313014,93,1574069795673820453,map,base_link,5.496886143,-0.9550606174,0.118,-0.007935144207,-0.004128170965,-0.2343444651,-0.9721124746,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.08,0.02,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1574069795916520939,94,1574069795916183219,map,base_link,5.539366009,-1.032798244,0.129,-0.007987681964,-0.004133523528,-0.2343983765,-0.9720990238,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.09,0.02,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1574069796200066540,95,1574069796199629048,map,base_link,5.581845868,-1.09943049,0.133,-0.008076311195,-0.004097547598,-0.2345416834,-0.9720638776,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.1,0.02,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1574069796467185335,96,1574069796466865985,map,base_link,5.632821721,-1.210484248,0.145,-0.008219651535,-0.004101978195,-0.2345238182,-0.9720669677,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.01,-0.12,0.02,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1574069796753908628,97,1574069796753584102,map,base_link,5.692293571,-1.35485414,0.161,-0.008485678655,-0.00409781294,-0.2345680549,-0.9720540257,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.01,-0.15,0.01,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1574069797034658176,98,1574069797034202996,map,base_link,5.734773484,-1.488118664,0.171,-0.008662861447,-0.004144532978,-0.2346494266,-0.9720326251,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.02,-0.18,0.01,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1574069797339346508,99,1574069797339019615,map,base_link,5.768757456,-1.643593954,0.186,-0.008860914781,-0.0040703062,-0.2347150975,-0.9720152981,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0.01,-0.21,0.01,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1574069797614372158,100,1574069797613904827,map,base_link,5.760261598,-1.75464776,0.204,-0.008816928204,-0.003977862545,-0.2347534428,-0.9720068207,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.23,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1574069797883805179,101,1574069797883593833,map,base_link,5.785749567,-1.854596159,0.216,-0.008755360179,-0.003875314755,-0.2347687291,-0.9720040995,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.23,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1574069798172893428,102,1574069798172407038,map,base_link,5.819733472,-1.932333788,0.218,-0.008660592656,-0.003924330444,-0.2348470024,-0.9719858431,0.9604000374,0,0,0,0,0,0,0.9604000374,0,0,0,0,0,0,4.326399683,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,0,0,0,0,0,99999,0,-0.23,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
