rosbagTimestamp,data,normality
1.57E+18,-0.863,1
1.57E+18,-0.881,1
1.57E+18,-0.897,1
1.57E+18,-0.908,1
1.57E+18,-0.916,1
1.57E+18,-0.931,1
1.57E+18,-0.947,1
1.57E+18,-0.96,1
1.57E+18,-0.966,1
1.57E+18,-0.972,1
1.57E+18,-0.978,1
1.57E+18,-0.981,1
1.57E+18,-0.979,1
1.57E+18,-0.986,1
1.57E+18,-0.995,1
1.57E+18,-0.995,1
1.57E+18,-0.994,1
1.57E+18,-0.998,1
1.57E+18,-0.999,1
1.57E+18,-0.997,1
1.57E+18,-0.997,1
1.57E+18,-0.997,1
1.57E+18,-1.003,1
1.57E+18,-1.008,1
1.57E+18,-1.002,1
1.57E+18,-0.997,1
1.57E+18,-0.996,1
1.57E+18,-0.996,1
1.57E+18,-0.993,1
1.57E+18,-0.984,1
1.57E+18,-0.978,1
1.57E+18,-0.973,1
1.57E+18,-0.964,1
1.57E+18,-0.952,1
1.57E+18,0.027,1
1.57E+18,0.047,1
1.57E+18,0.069,1
1.57E+18,0.079,1
1.57E+18,0.087,1
1.57E+18,0.097,1
1.57E+18,0.118,1
1.57E+18,0.129,1
1.57E+18,0.133,1
1.57E+18,0.145,1
1.57E+18,0.161,1
1.57E+18,0.171,1
1.57E+18,0.186,1
1.57E+18,0.204,1
1.57E+18,0.216,1
1.57E+18,0.218,1
1.57E+18,0.217,1
1.57E+18,0.217,1
1.57E+18,0.212,1
1.57E+18,0.21,1
1.57E+18,0.206,1
1.57E+18,0.196,1
1.57E+18,0.182,1
1.57E+18,0.169,1
1.57E+18,0.167,1
1.57E+18,0.161,1
1.57E+18,0.157,1
1.57E+18,0.162,1
1.57E+18,0.17,1
1.57E+18,0.177,1
1.57E+18,0.185,1
1.57E+18,0.192,1
1.57E+18,0.196,1
1.57E+18,0.189,1
1.57E+18,0.185,1
1.57E+18,0.171,1
1.57E+18,0.155,1
1.57E+18,0.146,1
1.57E+18,0.153,1
1.57E+18,0.151,1
1.57E+18,0.151,1
1.57E+18,0.151,1
1.57E+18,0.139,1
1.57E+18,0.142,1
1.57E+18,0.161,1
1.57E+18,0.211,1
1.57E+18,0.27,1
1.57E+18,0.324,1
1.57E+18,0.389,1
1.57E+18,0.45,1
1.57E+18,0.507,1
1.57E+18,0.533,1
1.57E+18,0.536,1
1.57E+18,0.538,1
1.57E+18,0.542,1
1.57E+18,0.562,1
1.57E+18,0.585,1
1.57E+18,0.592,1
1.57E+18,0.596,1
1.57E+18,0.606,1
1.57E+18,0.612,1
1.57E+18,0.62,1
1.57E+18,0.655,1
1.57E+18,0.695,1
1.57E+18,0.761,1
1.57E+18,0.834,1
1.57E+18,0.919,1
1.57E+18,1.009,1
1.57E+18,1.096,1
1.57E+18,1.194,1
1.57E+18,1.28,1
1.57E+18,1.33,1
1.57E+18,1.381,1
1.57E+18,1.456,1
1.57E+18,1.514,1
1.57E+18,1.552,1
1.57E+18,1.603,1
1.57E+18,1.662,1
1.57E+18,1.709,1
1.57E+18,1.743,1
1.57E+18,1.755,1
1.57E+18,1.759,1
1.57E+18,1.779,1
1.57E+18,1.806,1
1.57E+18,1.841,1
1.57E+18,1.86,1
1.57E+18,1.869,1
1.57E+18,1.871,1
1.57E+18,1.871,1
1.57E+18,1.873,1
1.57E+18,1.877,1
1.57E+18,1.877,1
1.57E+18,1.875,1
1.57E+18,1.871,1
1.57E+18,1.872,1
1.57E+18,1.879,1
1.57E+18,1.881,1
1.57E+18,1.875,1
1.57E+18,1.853,1
1.57E+18,1.84,1
1.57E+18,1.822,1
1.57E+18,1.805,1
1.57E+18,1.792,1
1.57E+18,1.778,1
1.57E+18,1.767,1
1.57E+18,1.746,1
1.57E+18,1.719,1
1.57E+18,1.706,1
1.57E+18,1.678,1
1.57E+18,1.652,1
1.57E+18,1.631,1
1.57E+18,1.614,1
1.57E+18,1.601,1
1.57E+18,1.575,1
1.57E+18,1.547,1
1.57E+18,1.511,1
1.57E+18,1.469,1
1.57E+18,1.435,1
1.57E+18,1.408,1
1.57E+18,1.368,1
1.57E+18,1.328,1
1.57E+18,1.282,1
1.57E+18,1.247,1
1.57E+18,1.21,1
1.57E+18,1.171,1
1.57E+18,1.118,1
1.57E+18,1.083,1
1.57E+18,1.041,1
1.57E+18,0.996,1
1.57E+18,0.964,1
1.57E+18,0.94,1
1.57E+18,0.911,1
1.57E+18,0.892,1
1.57E+18,0.89,1
1.57E+18,0.89,1
1.57E+18,0.906,1
1.57E+18,0.922,1
1.57E+18,0.932,1
1.57E+18,0.946,1
1.57E+18,0.954,1
1.57E+18,0.951,1
1.57E+18,0.962,1
1.57E+18,0.967,1
1.57E+18,0.967,1
1.57E+18,0.976,1
1.57E+18,0.98,1
1.57E+18,0.974,1
1.57E+18,0.973,1
1.57E+18,0.976,1
1.57E+18,0.972,1
1.57E+18,0.973,1
1.57E+18,0.976,1
1.57E+18,0.977,1
1.57E+18,0.979,1
1.57E+18,0.985,1
1.57E+18,0.993,1
1.57E+18,1.005,1
1.57E+18,1.01,1
1.57E+18,1.004,1
1.57E+18,1.001,1
1.57E+18,1.004,1
1.57E+18,1.007,1
1.57E+18,1.012,1
1.57E+18,1.027,1
1.57E+18,1.042,1
1.57E+18,1.055,1
1.57E+18,1.062,1
1.57E+18,1.066,1
1.57E+18,1.07,1
1.57E+18,1.081,1
1.57E+18,1.093,1
1.57E+18,1.104,1
1.57E+18,1.11,1
1.57E+18,1.112,1
1.57E+18,1.112,1
1.57E+18,1.111,1
1.57E+18,1.103,1
1.57E+18,1.084,1
1.57E+18,1.074,1
1.57E+18,1.059,1
1.57E+18,1.037,1
1.57E+18,1.019,1
1.57E+18,1.001,1
1.57E+18,0.978,1
1.57E+18,0.965,1
1.57E+18,0.928,1
1.57E+18,0.886,1
1.57E+18,0.84,1
1.57E+18,0.764,1
1.57E+18,0.655,1
1.57E+18,0.534,1
1.57E+18,0.403,1
1.57E+18,0.298,1
1.57E+18,0.226,1
1.57E+18,0.189,1
1.57E+18,0.139,1
1.57E+18,0.062,1
1.57E+18,-0.047,1
1.57E+18,-0.168,1
1.57E+18,-0.269,1
1.57E+18,-0.364,1
1.57E+18,-0.445,1
1.57E+18,-0.514,1
1.57E+18,-0.557,1
1.57E+18,-0.569,1
1.57E+18,-0.557,1
1.57E+18,-0.535,1
1.57E+18,-0.508,1
1.57E+18,-0.479,1
1.57E+18,-0.45,1
1.57E+18,-0.423,1
1.57E+18,-0.394,1
1.57E+18,-0.365,1
1.57E+18,-0.342,1
1.57E+18,-0.315,1
1.57E+18,-0.288,1
1.57E+18,-0.262,1
1.57E+18,-0.241,1
1.57E+18,-0.218,1
1.57E+18,-0.192,1
1.57E+18,-0.181,1
1.57E+18,-0.172,1
1.57E+18,-0.16,1
1.57E+18,-0.145,1
1.57E+18,-0.139,1
1.57E+18,-0.136,1
1.57E+18,-0.128,1
1.57E+18,-0.119,1
1.57E+18,-0.117,1
1.57E+18,-0.116,1
1.57E+18,-0.119,1
1.57E+18,-0.119,1
1.57E+18,-0.12,1
1.57E+18,-0.128,1
1.57E+18,-0.141,1
1.57E+18,-0.154,1
1.57E+18,-0.167,1
1.57E+18,-0.186,1
1.57E+18,-0.204,1
1.57E+18,-0.213,1
1.57E+18,-0.223,1
1.57E+18,-0.232,1
1.57E+18,-0.238,1
1.57E+18,-0.246,1
1.57E+18,-0.252,1
1.57E+18,-0.259,1
1.57E+18,-0.268,1
1.57E+18,-0.276,1
1.57E+18,-0.28,1
1.57E+18,-0.284,1
1.57E+18,-0.294,1
1.57E+18,-0.303,1
1.57E+18,-0.308,1
1.57E+18,-0.309,1
1.57E+18,-0.312,1
1.57E+18,-0.313,1
1.57E+18,-0.303,1
1.57E+18,-0.292,1
1.57E+18,-0.289,1
1.57E+18,-0.284,1
1.57E+18,-0.275,1
1.57E+18,-0.266,1
1.57E+18,-0.261,1
1.57E+18,-0.254,1
1.57E+18,-0.24,1
1.57E+18,-0.226,1
1.57E+18,-0.215,1
1.57E+18,-0.2,1
1.57E+18,-0.183,1
1.57E+18,-0.163,1
1.57E+18,-0.154,1
1.57E+18,-0.059,0
1.57E+18,-0.635,0
1.57E+18,-0.946,0
1.57E+18,-1.237,0
1.57E+18,-1.427,0
1.57E+18,-1.591,0
1.57E+18,-1.726,0
1.57E+18,-1.836,0
1.57E+18,-1.923,0
1.57E+18,-1.984,0
1.57E+18,-2.023,0
1.57E+18,-2.052,0
1.57E+18,-2.072,0
1.57E+18,-2.085,0
1.57E+18,-2.089,0
1.57E+18,-2.076,0
1.57E+18,-2.048,0
1.57E+18,-2.003,0
1.57E+18,-1.956,0
1.57E+18,-1.901,0
1.57E+18,-1.875,0
1.57E+18,-1.876,0
1.57E+18,-1.919,0
1.57E+18,-2.308,0
1.57E+18,-2.956,0
1.57E+18,-3.736,0
1.57E+18,-4.652,0
1.57E+18,-5.749,0
1.57E+18,-7.313,0
1.57E+18,-8.829,0
1.57E+18,-10.459,0
1.57E+18,-8.714,0
1.57E+18,-9.903,0
