,%time,data
0,1574069785712541572,-0.863
1,1574069785952278800,-0.881
2,1574069786192724522,-0.897
3,1574069786433272489,-0.908
4,1574069786666903920,-0.916
5,1574069786912711525,-0.931
6,1574069787152271333,-0.947
7,1574069787393200300,-0.96
8,1574069787635832352,-0.966
9,1574069787875292596,-0.972
10,1574069788112820257,-0.978
11,1574069788353904948,-0.981
12,1574069788589966951,-0.979
13,1574069788832670941,-0.986
14,1574069789072355593,-0.995
15,1574069789313023970,-0.995
16,1574069789546516869,-0.994
17,1574069789792367544,-0.998
18,1574069790032456528,-0.999
19,1574069790272492031,-0.997
20,1574069790512131578,-0.997
21,1574069790751886610,-0.997
22,1574069790992413163,-1.003
23,1574069791230968729,-1.008
24,1574069791471450076,-1.002
25,1574069791710191978,-0.997
26,1574069791951752305,-0.996
27,1574069792192380676,-0.996
28,1574069792430019181,-0.993
29,1574069792670771912,-0.984
30,1574069792908080154,-0.978
31,1574069793151732083,-0.973
32,1574069793390454516,-0.964
33,1574069793630430339,-0.952
34,1574069793911170730,0.027
35,1574069794212621475,0.047
36,1574069794523664670,0.069
37,1574069794793132346,0.079
38,1574069795072537940,0.087
39,1574069795353187997,0.097
40,1574069795674316395,0.118
41,1574069795916524902,0.129
42,1574069796200069574,0.133
43,1574069796467201860,0.145
44,1574069796753897977,0.161
45,1574069797034614269,0.171
46,1574069797339348317,0.186
47,1574069797614384355,0.204
48,1574069797883834447,0.216
49,1574069798172953154,0.218
50,1574069798434061116,0.217
51,1574069798697020538,0.217
52,1574069798995392326,0.212
53,1574069799271623477,0.21
54,1574069799557429220,0.206
55,1574069799833435570,0.196
56,1574069800126755111,0.182
57,1574069800430694396,0.169
58,1574069800696092166,0.167
59,1574069800972607606,0.161
60,1574069801279385423,0.157
61,1574069801548725142,0.162
62,1574069801832282302,0.17
63,1574069802133187841,0.177
64,1574069802411656409,0.185
65,1574069802687348337,0.192
66,1574069802972049069,0.196
67,1574069803227665499,0.189
68,1574069803508979377,0.185
69,1574069803832237915,0.171
